Gene1	Gene2	EdgeWeight
DKK1	AMH	0.957582155827255
DKK1	PGD2	0.956145674815124
DMRT1	DKK1	0.955132225248418
DKK1	DMRT1	0.955132225248418
DKK1	FGF9	0.955018371848797
DMRT1	AMH	0.954835195994744
RSPO1	CTNNB1	0.953949291418084
CTNNB1	RSPO1	0.953949291418084
DMRT1	PGD2	0.952756546148248
DKK1	DHH	0.952743193498636
DMRT1	FGF9	0.952289868373418
CTNNB1	FOXL2	0.949184839910176
DMRT1	DHH	0.948501230814857
DKK1	SOX9	0.946904632899572
SOX9	AMH	0.944423467937636
DMRT1	SOX9	0.943946037047221
RSPO1	FOXL2	0.943427609884477
SOX9	PGD2	0.942973965420299
SOX9	FGF9	0.939334958914115
SOX9	DHH	0.934117898833586
WNT4	FOXL2	0.911291368126481
CTNNB1	WT1pKTS	0.910989015225173
RSPO1	WT1pKTS	0.905922033107609
WNT4	WT1pKTS	0.895160376365131
UGR	WNT4	0.890952284730977
WNT4	NR5A1	0.890687907666812
WNT4	CTNNB1	0.890390811125388
NR0B1	FOXL2	0.881637284925718
WNT4	RSPO1	0.880451261373208
UGR	CBX2	0.879887394024475
UGR	WT1pKTS	0.879887161815316
NR0B1	DKK1	0.877681023416033
WNT4	CBX2	0.877495174256708
NR0B1	WNT4	0.875837111000896
NR0B1	WT1pKTS	0.873469675282606
NR0B1	DMRT1	0.871973357182353
CTNNB1	NR5A1	0.87197235532868
UGR	FOXL2	0.869525584666949
UGR	NR5A1	0.86836633316324
NR0B1	NR5A1	0.867333299157666
NR0B1	RSPO1	0.866406773503662
RSPO1	NR5A1	0.865962403377153
WNT4	NR0B1	0.86582326101374
NR0B1	CTNNB1	0.858049390151193
NR0B1	CBX2	0.857872539619478
SRY	DKK1	0.856185908709511
SRY	DMRT1	0.854265042634585
UGR	DKK1	0.852544349428537
UGR	DMRT1	0.851900437080646
UGR	RSPO1	0.85082686932634
UGR	CTNNB1	0.848355968283939
SRY	SOX9	0.848307347431142
SRY	PGD2	0.848132254809261
NR0B1	SOX9	0.847666464463432
SRY	FGF9	0.847088320983206
SRY	DHH	0.846763986137885
CBX2	NR5A1	0.84661826508857
SRY	AMH	0.846568403937777
DKK1	NR0B1	0.845330520155451
WNT4	UGR	0.84510794816585
DMRT1	NR0B1	0.843332330014747
NR0B1	SRY	0.838704211815509
NR0B1	UGR	0.836240537376429
NR5A1	WT1pKTS	0.834012756174465
UGR	SOX9	0.831745604758411
SRY	NR0B1	0.821779832932735
FOXL2	WT1pKTS	0.817358074946902
CBX2	FOXL2	0.806392472646322
UGR	NR0B1	0.804622544428683
SRY	WNT4	0.797745142584531
CBX2	WT1pKTS	0.797408756087238
NR0B1	PGD2	0.795477764645695
NR5A1	FOXL2	0.793490934238295
CBX2	CTNNB1	0.791261907244032
NR0B1	DHH	0.790036226716046
CBX2	RSPO1	0.788293416161808
NR0B1	FGF9	0.786224760215019
NR0B1	AMH	0.781464032356894
UGR	SRY	0.777385167055022
CBX2	WNT4	0.776581506333782
SRY	CBX2	0.761643086474585
CTNNB1	CBX2	0.758888323862875
RSPO1	CBX2	0.758442501411242
SRY	UGR	0.7559656091755
WT1pKTS	FOXL2	0.754939293460242
DKK1	SRY	0.750910383111467
GATA4	UGR	0.747974296766065
WT1pKTS	WT1mKTS	0.747041775937741
WT1mKTS	WT1pKTS	0.747041775937741
WT1pKTS	UGR	0.746777923652679
WT1mKTS	UGR	0.746602512261223
DMRT1	SRY	0.74627682305934
UGR	PGD2	0.74583249094712
UGR	FGF9	0.744944109352783
UGR	DHH	0.743182739417481
CBX2	NR0B1	0.735127063342762
SOX9	DKK1	0.734720964367869
UGR	AMH	0.729900643848553
WT1pKTS	DKK1	0.726222991618543
WT1mKTS	NR5A1	0.725511562925855
WT1mKTS	CBX2	0.721770825136623
NR5A1	CTNNB1	0.719452196741548
GATA4	NR5A1	0.715504728084152
NR5A1	RSPO1	0.71389020906382
WT1mKTS	DKK1	0.71375311328273
GATA4	CBX2	0.7129477457038
FOXL2	CTNNB1	0.711188241562555
NR5A1	WNT4	0.711046824512138
WT1pKTS	DMRT1	0.709486425098648
RSPO1	WNT4	0.708635703844932
FOXL2	RSPO1	0.708626305800779
GATA4	DKK1	0.706900632189503
CTNNB1	WNT4	0.705984087040161
WT1pKTS	NR5A1	0.703861003559216
WT1mKTS	DMRT1	0.703235705699111
CBX2	AMH	0.703003235465517
GATA4	RSPO1	0.701106933336599
GATA4	DMRT1	0.699080904359274
CBX2	PGD2	0.698523055354622
WT1mKTS	CTNNB1	0.698024194461322
CBX2	DKK1	0.697648537780371
CBX2	DHH	0.697563938502785
CBX2	FGF9	0.697147699325698
WT1mKTS	RSPO1	0.696042331253164
CBX2	DMRT1	0.695008266659051
WT1mKTS	WNT4	0.689695109853629
NR5A1	CBX2	0.686923988223279
SOX9	DMRT1	0.683509142331975
WT1pKTS	GATA4	0.681574380725284
GATA4	WT1pKTS	0.681574380725284
WT1pKTS	CBX2	0.681253060068953
GATA4	CTNNB1	0.67911798359221
WT1mKTS	GATA4	0.678102216609255
GATA4	WT1mKTS	0.678102216609255
GATA4	WNT4	0.677961825052438
CBX2	UGR	0.677891446358
CBX2	SOX9	0.677113926117254
RSPO1	NR0B1	0.675985163062106
CTNNB1	NR0B1	0.673872212861762
FOXL2	NR5A1	0.673021978514017
CBX2	SRY	0.670395176536729
GATA4	SRY	0.66587371230398
WNT4	SRY	0.661954401424269
WT1pKTS	SRY	0.660784419831825
RSPO1	SOX9	0.655328135207084
CTNNB1	UGR	0.653822067637615
DKK1	CBX2	0.652384982353011
WT1mKTS	NR0B1	0.65138004281503
RSPO1	UGR	0.650869429007581
DMRT1	CBX2	0.649647692197378
GATA4	NR0B1	0.649230145482529
DKK1	WNT4	0.641881866724673
DMRT1	WNT4	0.640327359920929
RSPO1	DMRT1	0.639871981302854
WT1mKTS	SRY	0.639503180199365
WT1pKTS	NR0B1	0.637383681006059
RSPO1	DKK1	0.633197232488716
WNT4	DMRT1	0.62860092063944
NR5A1	NR0B1	0.627447518412828
WNT4	DKK1	0.617119678575627
RSPO1	PGD2	0.607721740892842
RSPO1	DHH	0.605406512867528
WT1mKTS	FOXL2	0.60335575608765
