Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	0.5866932272911072
SRY	FOXL2	0.4037831723690033
SOX9	FOXL2	0.3742351233959198
DMRT1	FOXL2	0.3720930516719818
NR5A1	FOXL2	0.36800599098205566
DKK1	FOXL2	0.36533159017562866
PGD2	FOXL2	0.3504822552204132
FGF9	FOXL2	0.3406497836112976
DHH	FOXL2	0.3356735110282898
AMH	FOXL2	0.3344637453556061
NR5A1	UGR	0.31675010919570923
PGD2	SOX9	0.30289599299430847
DHH	SOX9	0.29783371090888977
AMH	SOX9	0.29382970929145813
FGF9	SOX9	0.29295697808265686
FOXL2	CTNNB1	0.283540815114975
SRY	CBX2	0.23570649325847626
DMRT1	SRY	0.23286297917366028
DKK1	SRY	0.20981313288211823
WNT4	CTNNB1	0.20522381365299225
SRY	SOX9	0.202734112739563
FOXL2	WT1pKTS	0.19720444083213806
DMRT1	NR5A1	0.19254925847053528
DKK1	NR5A1	0.19128437340259552
WT1pKTS	NR5A1	0.1848675161600113
NR5A1	DMRT1	0.18128299713134766
CTNNB1	WNT4	0.17774595320224762
WNT4	WT1mKTS	0.17098194360733032
NR5A1	DKK1	0.16052155196666718
NR0B1	WNT4	0.1598958671092987
RSPO1	WT1mKTS	0.15584063529968262
PGD2	NR5A1	0.15580053627490997
DMRT1	CBX2	0.15232032537460327
RSPO1	NR0B1	0.15074171125888824
RSPO1	WNT4	0.15065106749534607
DKK1	CBX2	0.15045340359210968
FGF9	NR5A1	0.1486382782459259
DHH	NR5A1	0.14802822470664978
SRY	NR5A1	0.1460680514574051
NR5A1	RSPO1	0.14533983170986176
AMH	NR5A1	0.1398673802614212
WT1pKTS	SRY	0.1382896453142166
NR0B1	CBX2	0.13484248518943787
SRY	RSPO1	0.13439300656318665
SRY	GATA4	0.1301734894514084
NR0B1	AMH	0.12810973823070526
PGD2	RSPO1	0.1208794116973877
RSPO1	NR5A1	0.12084101140499115
SRY	UGR	0.12077796459197998
SOX9	GATA4	0.11872352659702301
DMRT1	SOX9	0.11742011457681656
AMH	GATA4	0.11725842952728271
AMH	RSPO1	0.11723154783248901
FGF9	RSPO1	0.11719908565282822
DHH	RSPO1	0.11629262566566467
WNT4	WT1pKTS	0.11075246334075928
FOXL2	WT1mKTS	0.11011641472578049
DKK1	SOX9	0.1099964827299118
RSPO1	CTNNB1	0.10964952409267426
PGD2	GATA4	0.10415460914373398
DHH	GATA4	0.10072089731693268
DKK1	RSPO1	0.10041993111371994
UGR	SRY	0.09994417428970337
FGF9	GATA4	0.09789474308490753
DMRT1	NR0B1	0.09613821655511856
WT1pKTS	UGR	0.09522313624620438
CTNNB1	WT1mKTS	0.09444223344326019
SOX9	RSPO1	0.09443558752536774
NR0B1	UGR	0.09404332935810089
FOXL2	WNT4	0.09185416251420975
NR0B1	WT1mKTS	0.09104889631271362
PGD2	NR0B1	0.0863317996263504
FGF9	NR0B1	0.08562076091766357
DMRT1	RSPO1	0.0849861428141594
SOX9	NR0B1	0.08304727077484131
WNT4	CBX2	0.08286980539560318
DHH	NR0B1	0.07980980724096298
CTNNB1	WT1pKTS	0.07810891419649124
DKK1	NR0B1	0.07733739167451859
AMH	NR0B1	0.07719257473945618
WT1pKTS	CBX2	0.07053641229867935
CBX2	UGR	0.06772281974554062
SOX9	DMRT1	0.06427787989377975
NR5A1	SOX9	0.06298480927944183
SOX9	SRY	0.06246989220380783
DKK1	GATA4	0.06062275171279907
NR0B1	DHH	0.05956418439745903
DHH	DMRT1	0.05944052338600159
