Gene1	Gene2	EdgeWeight
WNT4	UGR	51.1893735270228
UGR	UGR	47.6091798768228
CBX2	UGR	45.7183227636752
WT1mKTS	UGR	38.7737516691509
GATA4	UGR	36.3674571324529
WT1pKTS	UGR	34.4474336489809
WNT4	CBX2	32.7441161190663
UGR	CBX2	28.9014616791721
NR5A1	UGR	27.647166132518
CBX2	CBX2	25.2779057164443
NR0B1	UGR	21.3974554642269
WNT4	NR0B1	20.7104007387616
WT1mKTS	CBX2	20.0631113621697
DMRT1	UGR	19.9722358236852
DKK1	UGR	18.6707513422374
GATA4	CBX2	18.1022714421825
WT1pKTS	CBX2	17.8542360726904
UGR	NR0B1	16.5374854776393
WNT4	GATA4	14.7499017339232
DMRT1	CBX2	13.9139654339394
RSPO1	UGR	13.3217669409506
WNT4	WNT4	13.2627117016184
DKK1	CBX2	13.2129922901693
NR0B1	CBX2	12.7581773165464
UGR	GATA4	12.0307076225519
CBX2	NR0B1	11.9815987933491
SRY	UGR	11.8086365093351
WNT4	DMRT1	11.3133259886711
UGR	WNT4	11.0600417224447
CTNNB1	UGR	10.9952418687405
WNT4	SRY	10.9255366584974
SOX9	UGR	10.6384998636771
WT1mKTS	NR0B1	10.6045559160898
NR5A1	CBX2	10.2816245678814
WNT4	RSPO1	10.1568709846249
WT1mKTS	WNT4	9.96460948893136
DMRT1	NR0B1	9.95347369103848
GATA4	WNT4	9.76987967148089
GATA4	NR0B1	9.70434011322331
UGR	DMRT1	9.51580297679251
UGR	RSPO1	9.31170171810367
WNT4	WT1mKTS	9.15218980062816
WT1pKTS	WNT4	8.94477104450271
DKK1	NR0B1	8.90292395899908
WT1pKTS	NR0B1	8.8318228234648
CBX2	GATA4	8.74198034290985
UGR	SRY	8.66570313252911
NR0B1	NR0B1	8.56241226795503
GATA4	GATA4	8.31623142890022
WT1mKTS	WT1mKTS	8.31609326853777
DMRT1	WNT4	8.27087892242515
UGR	WT1mKTS	8.16565061280808
DMRT1	DMRT1	8.02350109837883
