Gene1	Gene2	EdgeWeight
WNT4	UGR	51.1893735270228
UGR	UGR	47.6091798768228
CBX2	UGR	45.7183227636752
WT1mKTS	UGR	38.7737516691509
GATA4	UGR	36.3674571324529
WT1pKTS	UGR	34.4474336489809
WNT4	CBX2	32.7441161190663
SRY	UGR	29.8442577169709
UGR	CBX2	28.9014616791721
NR5A1	UGR	27.647166132518
CBX2	CBX2	25.2779057164443
NR0B1	UGR	24.0500503721874
UGR	SRY	23.1848057942074
WNT4	NR0B1	20.7104007387616
WT1mKTS	CBX2	20.0631113621697
DMRT1	UGR	19.9722358236852
SRY	SRY	19.7647697537223
DKK1	UGR	18.6707513422374
CTNNB1	UGR	18.5544595965729
GATA4	CBX2	18.1022714421825
WT1pKTS	CBX2	17.8542360726904
RSPO1	UGR	17.6836889406302
UGR	NR0B1	16.5374854776393
WT1mKTS	SRY	16.5095400561181
GATA4	SRY	15.4311632631992
WNT4	GATA4	14.7499017339232
DMRT1	CBX2	13.9139654339394
NR0B1	SRY	13.7944963302947
WNT4	WNT4	13.2627117016184
DKK1	CBX2	13.2129922901693
WNT4	SRY	13.0689183521974
CBX2	SRY	12.9229781715993
NR0B1	CBX2	12.7581773165464
SRY	WT1mKTS	12.6157073504781
RSPO1	WT1mKTS	12.3133775974088
UGR	WT1mKTS	12.0388692580857
UGR	GATA4	12.0307076225519
CBX2	NR0B1	11.9815987933491
RSPO1	WNT4	11.5479604507046
CTNNB1	SRY	11.4385882326114
WNT4	DMRT1	11.3133259886711
NR5A1	WNT4	11.148376082707
UGR	WNT4	11.0600417224447
SOX9	UGR	10.6384998636771
WT1mKTS	NR0B1	10.6045559160898
RSPO1	SRY	10.5723295287459
NR5A1	CBX2	10.2816245678814
WNT4	WT1mKTS	10.2534478092023
SRY	CBX2	10.1959820616763
WNT4	RSPO1	10.1568709846249
CTNNB1	WNT4	10.1094055367371
WT1mKTS	WNT4	9.96460948893136
DMRT1	NR0B1	9.95347369103848
WT1mKTS	WT1mKTS	9.86397217127293
